date,temperature_2m,cloud_cover,wind_speed_10m,diffuse_radiation,direct_normal_irradiance,shortwave_radiation,location,fetch_timestamp_utc
2025-03-11 07:00:00+00:00,6.0045004,100.0,11.159999,12.303878,0.0,12.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 08:00:00+00:00,6.4045,100.0,10.799999,18.01662,0.0,18.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 09:00:00+00:00,6.4045,90.0,12.599999,100.58999,53.27752,119.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 10:00:00+00:00,6.4045,100.0,10.440001,158.0325,158.49593,229.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 11:00:00+00:00,6.8545003,97.0,10.440001,176.03471,120.07368,238.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 12:00:00+00:00,8.1045,100.0,11.879999,175.06364,498.21588,447.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 13:00:00+00:00,8.3545,100.0,14.4,166.4537,543.05597,457.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 14:00:00+00:00,8.4545,100.0,12.959999,159.9801,478.97186,392.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 15:00:00+00:00,8.054501,83.0,15.119999,140.83617,415.54904,306.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 16:00:00+00:00,7.4545,99.0,15.4800005,109.29133,373.82117,214.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 17:00:00+00:00,6.8045,100.0,16.919998,35.981712,14.017917,38.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 18:00:00+00:00,6.2545004,100.0,16.199999,4.214514,0.0,4.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 19:00:00+00:00,5.7545004,100.0,12.959999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 20:00:00+00:00,5.7045,100.0,14.04,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 21:00:00+00:00,5.0545,18.0,9.72,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 22:00:00+00:00,4.7045,100.0,9.36,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 23:00:00+00:00,4.4545,100.0,10.799999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 00:00:00+00:00,4.3545003,100.0,9.0,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 01:00:00+00:00,3.6545,100.0,8.28,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 02:00:00+00:00,3.1045,100.0,9.72,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 03:00:00+00:00,3.3044999,100.0,9.0,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
