Price,target_datetime,Load,shortwave_radiation,temperature_2m,direct_normal_irradiance,diffuse_radiation,Flow_NO,yearday_cos,Flow_GB,month,is_dst,yearday_sin,wind_speed_10m,is_non_working_day,hour_cos,is_weekend,cloud_cover,weekday_sin,hour_sin,weekday_cos
0.12890000000000001,2025-02-16 01:00:00+00:00,12466.75,0.0,-0.06750000268220901,0.0,0.0,620.0,0.6905740195722293,-446.25,2,0,0.7232617254437388,8.640000343322754,1,0.9659258262890683,1,100.0,-0.7818314824680299,0.25881904510252074,0.6234898018587334
0.12357,2025-02-16 02:00:00+00:00,12245.5,0.0,-0.6174999475479126,0.0,0.0,620.0,0.6905740195722293,-792.75,2,0,0.7232617254437388,7.920000076293945,1,0.8660254037844387,1,17.0,-0.7818314824680299,0.49999999999999994,0.6234898018587334
0.1199,2025-02-16 03:00:00+00:00,12070.5,0.0,-0.11750000715255737,0.0,0.0,620.0,0.6905740195722293,-620.0,2,0,0.7232617254437388,5.759999752044678,1,0.7071067811865476,1,100.0,-0.7818314824680299,0.7071067811865475,0.6234898018587334
0.11957,2025-02-16 04:00:00+00:00,12072.75,0.0,-1.0674999952316284,0.0,0.0,621.0,0.6905740195722293,-498.5,2,0,0.7232617254437388,8.279999732971191,1,0.5000000000000001,1,14.0,-0.7818314824680299,0.8660254037844386,0.6234898018587334
0.12018999999999999,2025-02-16 05:00:00+00:00,12177.75,0.0,-1.8674999475479126,0.0,0.0,621.0,0.6905740195722293,-272.25,2,0,0.7232617254437388,7.559999465942383,1,0.25881904510252074,1,8.0,-0.7818314824680299,0.9659258262890683,0.6234898018587334
0.12,2025-02-16 06:00:00+00:00,12539.5,0.0,-1.7174999713897705,0.0,0.0,620.0,0.6905740195722293,124.0,2,0,0.7232617254437388,9.0,1,6.123233995736766e-17,1,1.0,-0.7818314824680299,1.0,0.6234898018587334
0.12764,2025-02-16 07:00:00+00:00,13083.75,0.0,-1.9175000190734863,0.0,0.0,605.0,0.6905740195722293,159.25,2,0,0.7232617254437388,9.0,1,-0.25881904510252063,1,36.0,-0.7818314824680299,0.9659258262890683,0.6234898018587334
0.1296,2025-02-16 08:00:00+00:00,13553.0,57.0,-1.1675000190734863,169.90164184570312,38.15616226196289,300.0,0.6905740195722293,93.5,2,0,0.7232617254437388,7.199999809265137,1,-0.49999999999999983,1,0.0,-0.7818314824680299,0.8660254037844387,0.6234898018587334
0.13040000000000002,2025-02-16 09:00:00+00:00,13642.75,189.0,0.23250000178813934,460.0724792480469,91.78688049316406,0.0,0.6905740195722293,-178.75,2,0,0.7232617254437388,9.359999656677246,1,-0.7071067811865475,1,100.0,-0.7818314824680299,0.7071067811865476,0.6234898018587334
0.12411,2025-02-16 10:00:00+00:00,13281.25,270.0,1.3324999809265137,475.8692321777344,118.36038208007812,0.0,0.6905740195722293,-876.25,2,0,0.7232617254437388,9.720000267028809,1,-0.8660254037844387,1,90.0,-0.7818314824680299,0.49999999999999994,0.6234898018587334
0.11725,2025-02-16 11:00:00+00:00,12968.25,318.0,2.5325000286102295,459.8242492675781,137.3080596923828,0.0,0.6905740195722293,-1095.5,2,0,0.7232617254437388,11.159998893737793,1,-0.9659258262890682,1,0.0,-0.7818314824680299,0.258819045102521,0.6234898018587334
0.12129999999999999,2025-02-16 12:00:00+00:00,12851.75,411.0,3.3324999809265137,641.4501953125,135.72410583496094,-13.0,0.6905740195722293,-1066.0,2,0,0.7232617254437388,13.319999694824219,1,-1.0,1,0.0,-0.7818314824680299,1.2246467991473532e-16,0.6234898018587334
0.10821,2025-02-16 13:00:00+00:00,12740.25,442.0,3.882499933242798,721.6878051757812,135.4536895751953,-319.0,0.6905740195722293,-1097.0,2,0,0.7232617254437388,13.679999351501465,1,-0.9659258262890683,1,0.0,-0.7818314824680299,-0.2588190451025208,0.6234898018587334
0.10984000000000001,2025-02-16 14:00:00+00:00,12651.25,387.0,4.082499980926514,675.91943359375,130.07119750976562,-328.0,0.6905740195722293,-1096.0,2,0,0.7232617254437388,12.959999084472656,1,-0.8660254037844388,1,0.0,-0.7818314824680299,-0.4999999999999998,0.6234898018587334
0.12445,2025-02-16 15:00:00+00:00,12895.25,287.0,3.932500123977661,575.9634399414062,115.21299743652344,9.0,0.6905740195722293,-1074.0,2,0,0.7232617254437388,12.59999942779541,1,-0.7071067811865479,1,0.0,-0.7818314824680299,-0.7071067811865471,0.6234898018587334
0.13294999999999998,2025-02-16 16:00:00+00:00,13625.5,159.0,3.382499933242798,413.9200744628906,82.51589965820312,294.0,0.6905740195722293,-397.0,2,0,0.7232617254437388,9.359999656677246,1,-0.5000000000000004,1,0.0,-0.7818314824680299,-0.8660254037844384,0.6234898018587334
0.14908000000000002,2025-02-16 17:00:00+00:00,15475.75,35.0,1.9325000047683716,96.94173431396484,25.672744750976562,527.0,0.6905740195722293,-95.5,2,0,0.7232617254437388,7.920000076293945,1,-0.25881904510252063,1,1.0,-0.7818314824680299,-0.9659258262890683,0.6234898018587334
0.16501,2025-02-16 18:00:00+00:00,16495.75,0.0,0.6825000047683716,0.0,0.0,278.0,0.6905740195722293,93.5,2,0,0.7232617254437388,8.640000343322754,1,-1.8369701987210297e-16,1,0.0,-0.7818314824680299,-1.0,0.6234898018587334
0.16088999999999998,2025-02-16 19:00:00+00:00,16204.75,0.0,-0.11750000715255737,0.0,0.0,435.0,0.6905740195722293,-195.5,2,0,0.7232617254437388,9.0,1,0.2588190451025203,1,3.0,-0.7818314824680299,-0.9659258262890684,0.6234898018587334
0.15372,2025-02-16 20:00:00+00:00,15743.25,0.0,-0.3174999952316284,0.0,0.0,571.0,0.6905740195722293,-357.0,2,0,0.7232617254437388,9.359999656677246,1,0.5000000000000001,1,0.0,-0.7818314824680299,-0.8660254037844386,0.6234898018587334
0.13935,2025-02-16 21:00:00+00:00,15043.0,0.0,-1.1174999475479126,0.0,0.0,524.0,0.6905740195722293,-206.75,2,0,0.7232617254437388,9.359999656677246,1,0.7071067811865474,1,0.0,-0.7818314824680299,-0.7071067811865477,0.6234898018587334
0.1376,2025-02-16 22:00:00+00:00,14286.25,0.0,-1.6675000190734863,0.0,0.0,613.0,0.6905740195722293,-104.25,2,0,0.7232617254437388,6.839999675750732,1,0.8660254037844384,1,0.0,-0.7818314824680299,-0.5000000000000004,0.6234898018587334
0.13151,2025-02-16 23:00:00+00:00,13501.5,0.0,-2.0174999237060547,0.0,0.0,476.0,0.6905740195722293,-95.75,2,0,0.7232617254437388,7.199999809265137,1,0.9659258262890681,1,0.0,-0.7818314824680299,-0.25881904510252157,0.6234898018587334
0.12805000000000002,2025-02-17 00:00:00+00:00,13050.5,0.0,-2.617500066757202,0.0,0.0,621.0,0.6780306024735382,654.5,2,0,0.7350336741329412,6.479999542236328,0,1.0,0,0.0,0.0,0.0,1.0
0.12106,2025-02-17 01:00:00+00:00,12672.0,0.0,-2.9674999713897705,0.0,0.0,620.0,0.6780306024735382,311.0,2,0,0.7350336741329412,8.279999732971191,0,0.9659258262890683,0,9.0,0.0,0.25881904510252074,1.0
0.12034,2025-02-17 02:00:00+00:00,12540.25,0.0,-3.4674999713897705,0.0,0.0,620.0,0.6780306024735382,226.5,2,0,0.7350336741329412,8.279999732971191,0,0.8660254037844387,0,0.0,0.0,0.49999999999999994,1.0
0.12394,2025-02-17 03:00:00+00:00,12460.0,0.0,-3.7674999237060547,0.0,0.0,621.0,0.6780306024735382,221.5,2,0,0.7350336741329412,7.559999465942383,0,0.7071067811865476,0,4.0,0.0,0.7071067811865475,1.0
0.12674,2025-02-17 04:00:00+00:00,12470.25,0.0,-2.817499876022339,0.0,0.0,620.0,0.6780306024735382,310.5,2,0,0.7350336741329412,9.0,0,0.5000000000000001,0,100.0,0.0,0.8660254037844386,1.0
0.12991,2025-02-17 05:00:00+00:00,13038.75,0.0,-4.067500114440918,0.0,0.0,601.0,0.6780306024735382,724.5,2,0,0.7350336741329412,9.359999656677246,0,0.25881904510252074,0,100.0,0.0,0.9659258262890683,1.0
0.14922,2025-02-17 06:00:00+00:00,14489.25,0.0,-3.567499876022339,0.0,0.0,492.0,0.6780306024735382,1044.0,2,0,0.7350336741329412,9.359999656677246,0,6.123233995736766e-17,0,100.0,0.0,1.0,1.0
0.20474,2025-02-17 07:00:00+00:00,16432.0,0.0,-2.367500066757202,0.0,0.0,492.0,0.6780306024735382,1044.25,2,0,0.7350336741329412,6.839999675750732,0,-0.25881904510252063,0,100.0,0.0,0.9659258262890683,1.0
0.20979,2025-02-17 08:00:00+00:00,17426.0,27.0,-2.817499876022339,14.293785095214844,25.37687873840332,492.0,0.6780306024735382,878.0,2,0,0.7350336741329412,5.039999961853027,0,-0.49999999999999983,0,0.0,0.0,0.8660254037844387,1.0
0.1713,2025-02-17 09:00:00+00:00,16951.75,200.0,-2.117500066757202,487.0918884277344,94.52377319335938,492.0,0.6780306024735382,568.0,2,0,0.7350336741329412,5.399999618530273,0,-0.7071067811865475,0,92.0,0.0,0.7071067811865476,1.0
0.13967,2025-02-17 10:00:00+00:00,15865.0,258.0,0.5325000286102295,423.685791015625,120.72059631347656,492.0,0.6780306024735382,256.75,2,0,0.7350336741329412,5.399999618530273,0,-0.8660254037844387,0,1.0,0.0,0.49999999999999994,1.0
0.1172,2025-02-17 11:00:00+00:00,15282.0,392.0,1.2825000286102295,654.51904296875,131.2567901611328,492.0,0.6780306024735382,-911.0,2,0,0.7350336741329412,1.7999999523162842,0,-0.9659258262890682,0,4.0,0.0,0.258819045102521,1.0
0.10954000000000001,2025-02-17 12:00:00+00:00,14956.0,453.0,2.132499933242798,728.7573852539062,136.3046875,492.0,0.6780306024735382,-1073.0,2,0,0.7350336741329412,6.119999885559082,0,-1.0,0,2.0,0.0,1.2246467991473532e-16,1.0
0.10679000000000001,2025-02-17 13:00:00+00:00,14720.25,415.0,2.2825000286102295,649.5233154296875,135.6142578125,493.0,0.6780306024735382,-785.5,2,0,0.7350336741329412,5.399999618530273,0,-0.9659258262890683,0,87.0,0.0,-0.2588190451025208,1.0
0.11175,2025-02-17 14:00:00+00:00,14619.75,244.0,3.382499933242798,264.9101257324219,141.90443420410156,492.0,0.6780306024735382,-566.25,2,0,0.7350336741329412,3.5999999046325684,0,-0.8660254037844388,0,0.0,0.0,-0.4999999999999998,1.0
0.13,2025-02-17 15:00:00+00:00,14981.25,296.0,3.132499933242798,590.6287841796875,116.80353546142578,492.0,0.6780306024735382,-0.25,2,0,0.7350336741329412,3.5999999046325684,0,-0.7071067811865479,0,1.0,0.0,-0.7071067811865471,1.0
0.15543,2025-02-17 16:00:00+00:00,15885.75,167.0,2.0824999809265137,433.2781677246094,84.78741455078125,492.0,0.6780306024735382,1003.0,2,0,0.7350336741329412,5.759999752044678,0,-0.5000000000000004,0,21.0,0.0,-0.8660254037844384,1.0
0.213,2025-02-17 17:00:00+00:00,17855.75,35.0,1.1825000047683716,88.79351043701172,26.237627029418945,492.0,0.6780306024735382,1043.25,2,0,0.7350336741329412,4.679999828338623,0,-0.25881904510252063,0,99.0,0.0,-0.9659258262890683,1.0
0.26237,2025-02-17 18:00:00+00:00,18379.0,0.0,-0.16750000417232513,0.0,0.0,492.0,0.6780306024735382,845.0,2,0,0.7350336741329412,3.9600000381469727,0,-1.8369701987210297e-16,0,36.0,0.0,-1.0,1.0
0.21543,2025-02-17 19:00:00+00:00,17915.0,0.0,-1.1675000190734863,0.0,0.0,492.0,0.6780306024735382,940.5,2,0,0.7350336741329412,8.279999732971191,0,0.2588190451025203,0,77.0,0.0,-0.9659258262890684,1.0
0.17793,2025-02-17 20:00:00+00:00,17215.25,0.0,-1.5174999237060547,0.0,0.0,492.0,0.6780306024735382,898.0,2,0,0.7350336741329412,6.119999885559082,0,0.5000000000000001,0,51.0,0.0,-0.8660254037844386,1.0
0.15530000000000002,2025-02-17 21:00:00+00:00,16458.75,0.0,-1.8174999952316284,0.0,0.0,492.0,0.6780306024735382,1040.0,2,0,0.7350336741329412,9.0,0,0.7071067811865474,0,0.0,0.0,-0.7071067811865477,1.0
0.13939,2025-02-17 22:00:00+00:00,15450.75,0.0,-2.4175000190734863,0.0,0.0,492.0,0.6780306024735382,950.5,2,0,0.7350336741329412,6.839999675750732,0,0.8660254037844384,0,8.0,0.0,-0.5000000000000004,1.0
0.12972,2025-02-17 23:00:00+00:00,14484.25,0.0,-2.6675000190734863,0.0,0.0,492.0,0.6780306024735382,772.75,2,0,0.7350336741329412,8.279999732971191,0,0.9659258262890681,0,0.0,0.0,-0.25881904510252157,1.0
0.13301,2025-02-18 00:00:00+00:00,13694.25,0.0,-2.867500066757202,0.0,0.0,478.0,0.6652865452111116,475.75,2,0,0.746588114532413,8.640000343322754,0,1.0,0,0.0,0.7818314824680298,0.0,0.6234898018587336
0.12506,2025-02-18 01:00:00+00:00,13169.5,0.0,-3.1675000190734863,0.0,0.0,492.0,0.6652865452111116,0.25,2,0,0.746588114532413,8.279999732971191,0,0.9659258262890683,0,48.0,0.7818314824680298,0.25881904510252074,0.6234898018587336
0.12362000000000001,2025-02-18 02:00:00+00:00,12942.0,0.0,-3.7674999237060547,0.0,0.0,492.0,0.6652865452111116,261.5,2,0,0.746588114532413,7.920000076293945,0,0.8660254037844387,0,93.0,0.7818314824680298,0.49999999999999994,0.6234898018587336
0.11662,2025-02-18 03:00:00+00:00,12866.25,0.0,-4.167500019073486,0.0,0.0,490.0,0.6652865452111116,433.5,2,0,0.746588114532413,8.279999732971191,0,0.7071067811865476,0,98.0,0.7818314824680298,0.7071067811865475,0.6234898018587336
0.11508,2025-02-18 04:00:00+00:00,12950.5,0.0,-3.867500066757202,0.0,0.0,487.0,0.6652865452111116,472.25,2,0,0.746588114532413,10.799999237060547,0,0.5000000000000001,0,21.0,0.7818314824680298,0.8660254037844386,0.6234898018587336
0.12151999999999999,2025-02-18 05:00:00+00:00,13466.5,0.0,-4.267500400543213,0.0,0.0,356.0,0.6652865452111116,557.25,2,0,0.746588114532413,9.359999656677246,0,0.25881904510252074,0,44.0,0.7818314824680298,0.9659258262890683,0.6234898018587336
