Forecasted Load,forecast_date,target_datetime
13593.0,2025-01-04,2025-01-04 13:30:00+01:00
13607.0,2025-01-04,2025-01-04 13:45:00+01:00
13557.0,2025-01-04,2025-01-04 14:00:00+01:00
13580.0,2025-01-04,2025-01-04 14:15:00+01:00
13643.0,2025-01-04,2025-01-04 14:30:00+01:00
13695.0,2025-01-04,2025-01-04 14:45:00+01:00
13755.0,2025-01-04,2025-01-04 15:00:00+01:00
13825.0,2025-01-04,2025-01-04 15:15:00+01:00
13905.0,2025-01-04,2025-01-04 15:30:00+01:00
13994.0,2025-01-04,2025-01-04 15:45:00+01:00
14038.0,2025-01-04,2025-01-04 16:00:00+01:00
14145.0,2025-01-04,2025-01-04 16:15:00+01:00
14333.0,2025-01-04,2025-01-04 16:30:00+01:00
14479.0,2025-01-04,2025-01-04 16:45:00+01:00
14433.0,2025-01-04,2025-01-04 17:00:00+01:00
14504.0,2025-01-04,2025-01-04 17:15:00+01:00
14640.0,2025-01-04,2025-01-04 17:30:00+01:00
14707.0,2025-01-04,2025-01-04 17:45:00+01:00
14535.0,2025-01-04,2025-01-04 18:00:00+01:00
14291.0,2025-01-04,2025-01-04 18:15:00+01:00
14162.0,2025-01-04,2025-01-04 18:30:00+01:00
14029.0,2025-01-04,2025-01-04 18:45:00+01:00
13821.0,2025-01-04,2025-01-04 19:00:00+01:00
13706.0,2025-01-04,2025-01-04 19:15:00+01:00
13571.0,2025-01-04,2025-01-04 19:30:00+01:00
13535.0,2025-01-04,2025-01-04 19:45:00+01:00
13417.0,2025-01-04,2025-01-04 20:00:00+01:00
13335.0,2025-01-04,2025-01-04 20:15:00+01:00
13215.0,2025-01-04,2025-01-04 20:30:00+01:00
13122.0,2025-01-04,2025-01-04 20:45:00+01:00
13052.0,2025-01-04,2025-01-04 21:00:00+01:00
12954.0,2025-01-04,2025-01-04 21:15:00+01:00
12841.0,2025-01-04,2025-01-04 21:30:00+01:00
12701.0,2025-01-04,2025-01-04 21:45:00+01:00
12555.0,2025-01-04,2025-01-04 22:00:00+01:00
12398.0,2025-01-04,2025-01-04 22:15:00+01:00
12266.0,2025-01-04,2025-01-04 22:30:00+01:00
12138.0,2025-01-04,2025-01-04 22:45:00+01:00
12040.0,2025-01-04,2025-01-04 23:00:00+01:00
11838.0,2025-01-04,2025-01-04 23:15:00+01:00
