Price,target_datetime,Load,shortwave_radiation,temperature_2m,direct_normal_irradiance,diffuse_radiation,Flow_NO,yearday_cos,Flow_GB,month,is_dst,yearday_sin,is_non_working_day,hour_cos,is_weekend,cloud_cover,weekday_sin,hour_sin,weekday_cos
0.16942,2025-05-12 19:00:00+00:00,10041.5,72.0,20.282499313354492,170.60507202148438,49.97248458862305,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,0.2588190451025203,0,94.0,0.0,-0.9659258262890684,1.0
0.13001,2025-05-12 18:00:00+00:00,8592.25,188.0,21.83249855041504,320.0933532714844,104.02507781982422,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-1.8369701987210297e-16,0,33.0,0.0,-1.0,1.0
0.09556999999999999,2025-05-12 17:00:00+00:00,6872.0,337.0,23.482500076293945,474.8409118652344,141.32647705078125,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-0.25881904510252063,0,99.0,0.0,-0.9659258262890683,1.0
0.06447,2025-05-12 16:00:00+00:00,4642.25,511.0,24.13249969482422,641.1796875,157.9310760498047,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-0.5000000000000004,0,96.0,0.0,-0.8660254037844384,1.0
-0.00372,2025-05-12 15:00:00+00:00,3028.0,642.0,24.482500076293945,695.7703857421875,176.80148315429688,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-0.7071067811865479,0,88.0,0.0,-0.7071067811865471,1.0
-0.01089,2025-05-12 14:00:00+00:00,2104.75,758.0,25.032499313354492,749.2466430664062,190.15072631835938,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-0.8660254037844388,0,76.0,0.0,-0.4999999999999998,1.0
-0.048229999999999995,2025-05-12 13:00:00+00:00,1965.5,822.0,24.932498931884766,759.3424072265625,205.10226440429688,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-0.9659258262890683,0,66.0,0.0,-0.2588190451025208,1.0
-0.056960000000000004,2025-05-12 12:00:00+00:00,2056.5,842.0,24.282499313354492,763.2471313476562,209.7023468017578,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-1.0,0,76.0,0.0,1.2246467991473532e-16,1.0
-0.04418,2025-05-12 11:00:00+00:00,2165.5,809.0,23.682498931884766,750.8233032226562,204.70042419433594,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-0.9659258262890682,0,55.0,0.0,0.258819045102521,1.0
-0.006019999999999999,2025-05-12 10:00:00+00:00,2791.5,721.0,22.232500076293945,707.268310546875,195.31655883789062,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-0.8660254037844387,0,82.0,0.0,0.49999999999999994,1.0
